#hydrogen_weight_percent	atomic_number	period	en_pauling	covalent_radius_bragg	electron_affinity	atomic_volume	atomic_weight	fusion_heat	ion_eng	std(atomic_number)	std(period)	std(en_pauling)	std(covalent_radius_bragg)	std(electron_affinity)	std(atomic_volume)	std(atomic_weight)	std(fusion_heat)	std(ion_eng)	min(atomic_number)	min(period)	min(en_pauling)	min(covalent_radius_bragg)	min(electron_affinity)	min(atomic_volume)	min(atomic_weight)	min(fusion_heat)	min(ion_eng)	max(atomic_number)	max(period)	max(en_pauling)	max(covalent_radius_bragg)	max(electron_affinity)	max(atomic_volume)	max(atomic_weight)	max(fusion_heat)	max(ion_eng)
2.1	-1.27600789689901	-1.78409369344113	0.534691793286534	-0.1565765709427	0.107254211851474	-0.0556025391494859	-1.20030770137734	-0.453869457648989	1.03496687404098	1.0678665805724	1.36465177165137	0.667711789079212	1.25039659888063	0.177719508821887	1.01972000051764	1.0340123698867	0.854472306886992	0.913547804606412	-1.71481604243894	-2.53461387698006	-0.698896791619378	-0.720837046910702	-0.133633624922504	-0.680546139571043	-1.60996035320507	-0.799935749787215	-0.838530341476221	0.883390082468544	0.681901195329661	0.836496126410783	2.1575767171366	0.303250245140686	1.95244237976563	0.889625896434878	1.48934967322506	1.66913575681552
2.7	-1.36838855911794	-1.83770227797962	0.534691793286534	-0.1565765709427	0.105599348707295	-0.056535612171822	-1.29845657325706	-0.491319904679238	1.00811320071127	0.779413721058885	1.23532605353136	0.667711789079212	1.25039659888063	0.171145758800319	1.02219983514389	0.731919256265858	0.670733939982361	0.931552332296036	-1.71481604243894	-2.53461387698006	-0.698896791619378	-0.720837046910702	-0.133633624922504	-0.691743015839076	-1.60996035320507	-0.799935749787215	-0.838530341476221	0.190535115826549	0.681901195329661	0.836496126410783	2.1575767171366	0.283391887410541	1.95244237976563	0.190787434920349	1.03994430886208	1.66913575681552
2.4	-1.33374581078584	-1.78409369344113	0.406742383450687	0.0832912427279082	0.0756337488377639	0.163813170795237	-1.25854423983689	-0.599080545811437	0.954570903491079	0.823205786408646	1.32186203683379	0.640127928447851	1.19918023379552	0.129802501057276	1.01302563619703	0.786444013730944	0.287684500124709	1.05333884055278	-1.71481604243894	-2.53461387698006	-0.698896791619378	-0.720837046910702	-0.133633624922504	-0.200803056394554	-1.60996035320507	-0.799935749787215	-0.838530341476221	0.190535115826549	0.681901195329661	0.836496126410783	2.1575767171366	0.16590785724323	1.95244237976563	0.190787434920349	-0.141556890995445	1.66913575681552
2.7	-1.30855108472613	-1.94979295474193	0.664949797609356	-0.459163068360948	0.122083350221197	-0.0383309007570132	-1.22385208220269	-0.526958233304797	1.28446390075734	1.08706861412571	1.5162797462793	0.656792868824725	1.35689726107903	0.113628237522253	1.13271352860483	1.03519721407604	1.05283234083533	1.04744023963862	-1.71481604243894	-2.53461387698006	-0.698896791619378	-0.720837046910702	-0.0761953110238329	-0.644371616243552	-1.60996035320507	-0.799935749787215	-0.838530341476221	0.848747334136444	0.681901195329661	0.836496126410783	2.1575767171366	0.16590785724323	1.95244237976563	0.836482839695696	1.65606456645649	1.66913575681552
11.3	-1.62978384198742	-2.242203415861	0.643639694652658	-0.241101419569486	0.028815684653174	-0.3276487875429	-1.53796538750603	-0.580115903016178	1.13905669832682	0.17664404974986	0.525254711808677	0.337575543477577	0.815393775059513	0.562881558252934	0.320498606409981	0.14346749879864	0.390665859511372	0.931609966837513	-1.71481604243894	-2.53461387698006	0.0981010589611638	-0.720837046910702	-1.08683479596947	-0.975971413412221	-1.60996035320507	-0.799935749787215	-0.60707110756022	-1.29910306245374	-1.24800784805617	0.836496126410783	1.12957180140542	0.16590785724323	-0.192190074649914	-1.26685490199383	0.076622164929165	1.66913575681552
20.8	-1.66418433333818	-2.28718964064855	0.721995303985751	-0.59958518505523	0.0115600549411005	-0.50424502862882	-1.56198620981296	-0.208766968688142	1.08315056145555	0.0588813499166202	0.303255949255859	0.313377283094276	0.743062785828991	0.551523717989669	0.377860320963763	0.0562823763280783	0.69500731362612	0.686377822709712	-1.71481604243894	-2.53461387698006	0.0981010589611638	-0.720837046910702	-1.08683479596947	-1.01042334039078	-1.60996035320507	-0.799935749787215	0.084297850551647	-1.57624504911054	-1.89131086251812	0.836496126410783	0.855437157210437	0.16590785724323	-0.192190074649914	-1.48047781724746	0.902223310105678	1.66913575681552
1.5	-1.19517481745744	-1.24800784805617	0.297350521606299	0.992504479307928	-0.380671595085508	-0.907067559455095	-1.17608696992686	0.272330952635625	0.139095759387395	0.415712979985197	0.643303014461945	0.199249462645135	0.13706732209749	0.706163200883957	0.0689038539571258	0.328139663011225	0.19570878770646	0.251584082803942	-1.61088779744264	-1.89131086251812	0.0981010589611638	0.855437157210437	-1.08683479596947	-0.975971413412221	-1.50422663293808	0.076622164929165	-0.112488323416547	-0.779461837472244	-0.604704833594228	0.496599984251434	1.12957180140542	0.325491605798449	-0.838163705497969	-0.847947306915632	0.468039740342086	0.390679842191337
1.2	-0.941127996355377	-0.765530587209715	0.231910747110103	1.19353655171758	0.173262400028589	-0.511588147680341	-0.982005500128236	0.264840863229576	-0.150054208673017	0.226285484536793	0.303255949255859	0.442734448931183	0.207269480305763	0.214172500336235	0.837257830609828	0.185663612254225	0.287366607871496	0.215642720889358	-1.33374581078584	-1.24800784805617	-0.569970668731349	1.12957180140542	-0.133633624922504	-0.838163705497969	-1.30221146112137	-0.141556890995445	-0.568982122225671	-0.779461837472244	-0.604704833594228	0.496599984251434	1.60930742874664	0.325491605798449	1.16866104100332	-0.847947306915632	0.468039740342086	-0.110587264839386
1.7	-0.918032830800643	-0.711922002671219	0.201632642492459	1.22551892687366	0.174074937832381	-0.397466139563851	-0.964642308605593	0.264840863229576	-0.188253780121874	0.226285484536793	0.303255949255859	0.442734448931183	0.207269480305763	0.214172500336235	0.837257830609828	0.185663612254225	0.287366607871496	0.215642720889358	-1.33374581078584	-1.24800784805617	-0.569970668731349	1.12957180140542	-0.133633624922504	-0.838163705497969	-1.30221146112137	-0.141556890995445	-0.568982122225671	-0.779461837472244	-0.604704833594228	0.496599984251434	1.60930742874664	0.325491605798449	1.16866104100332	-0.847947306915632	0.468039740342086	-0.110587264839386
5.4	-1.13871996832365	-0.795313134175546	-0.462315185646396	1.49559231708057	-0.126772194579374	0.762893901033581	-1.15558895493016	-0.141556890995445	-0.433161423740846	0.138570993328399	0.321651507230972	0.181668627705859	0.191894250936487	0.0048752268227506	0.684732048698939	0.104179149135859	0	0.229197428693142	-1.33374581078584	-1.24800784805617	-0.569970668731349	1.22551892687366	-0.133633624922504	-0.200803056394554	-1.30221146112137	-0.141556890995445	-0.568982122225671	-1.05660382412904	-0.604704833594228	-0.206633413319631	1.60930742874664	-0.123883171277003	1.16866104100332	-1.09385316284965	-0.141556890995445	-0.110587264839386
